category,comment,director,ranking,rate,region,score_number,title,year
剧情 喜剧 犯罪,故事的高级讲法。,"昆汀·塔伦蒂诺 ,Quentin Tarantino",79,8.8,美国,579986,"低俗小说,Pulp Fiction,黑色追緝令(台)  /  危险人物(港)",1994
剧情 犯罪 惊悚,安东尼·霍普金斯的顶级表演。,"乔纳森·戴米 ,Jonathan Demme",80,8.8,美国,577121,"沉默的羔羊,The Silence of the Lambs,沉默的羔羊",1991
剧情 悬疑 科幻 惊悚,人的命运被自己瞬间的抉择改变。,"埃里克·布雷斯 ,Eric Bress ",81,8.8,美国 加拿大,641959,"蝴蝶效应,The Butterfly Effect,蝴蝶效应",2004
剧情 歌舞,以戏谑来戏谑戏谑。,"中岛哲也 ,Tetsuya Nakashima",82,8.9,日本,519147,"被嫌弃的松子的一生,嫌われ松子の一生,花样奇缘(港)  /  令人讨厌的松子的一生(台)",2006
剧情 冒险 家庭,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,"阿兰·葛斯彭纳 ,Alain Gsponer",83,9.2,德国 瑞士 南非,235393,"海蒂和爷爷,Heidi,飘零燕(港)  /  海蒂",2015
剧情 爱情 同性,爱情纠缠，男女一致。,"王家卫 ,Kar Wai Wong",84,8.9,中国香港 日本 韩国,431709,"春光乍泄,春光乍洩,一起快乐  /  Happy Together",1997
剧情 悬疑 惊悚,昔日翩翩少年，今日大腹便便。,",Martin Scorsese",85,8.8,美国,639620,"禁闭岛,Shutter Island,不赦岛(港)  /  隔离岛(台)",2010
剧情,人生中应该拥有这样的一段豁然开朗。,"格斯·范·桑特 ,Gus Van Sant",86,8.9,美国,478822,"心灵捕手,Good Will Hunting,骄阳似我(港)  /  心灵捕手",1997
剧情 喜剧 冒险,小清新的故事里注入了大历史的情怀。,"韦斯·安德森 ,Wes Anderson",87,8.8,美国 德国 英国,605736,"布达佩斯大饭店,The Grand Budapest Hotel,布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台)",2014
剧情 奇幻 爱情,浪漫忧郁的成人童话。,"蒂姆·波顿 ,Tim Burton",88,8.7,美国,779242,"剪刀手爱德华,Edward Scissorhands,幻海奇缘(港)  /  剪刀手爱德华",1990
动作 科幻 冒险,绝对意义上的美轮美奂。,"詹姆斯·卡梅隆 ,James Cameron",89,8.7,美国 英国,921505,"阿凡达,Avatar,天神下凡(港)  /  化身",2009
动作 传记 剧情 历史 战争,史诗大片的典范。,"梅尔·吉布森 ,Mel Gibson",90,8.9,美国,433895,"勇敢的心,Braveheart,惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台)",1995
剧情 喜剧 爱情,大时代中的人生，小人物的悲喜。,"查理·卓别林 ,Charles Chaplin",91,9.3,美国,188668,"摩登时代,Modern Times,The Masses  /  Temps modernes, Les",1936
喜剧 爱情,法式小清新。 ,"让-皮埃尔·热内 ,Jean-Pierre Jeunet",92,8.7,法国 德国,747328,"天使爱美丽,Le fabuleux destin d'Amélie Poulain,艾蜜莉的异想世界(台)  /  天使艾米莉",2001
动作 冒险 奇幻,约翰尼·德普的独角戏。,"戈尔·维宾斯基 ,Gore Verbinski",93,8.7,美国,610155,"加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台)",2003
喜剧 剧情 爱情,我是一个演员。,"周星驰 ,Stephen Chow ",94,8.7,中国香港,636462,"喜剧之王,喜劇之王,King of Comedy",1999
剧情 悬疑 惊悚,最不可能的那个人永远是最可能的。,"詹姆斯·曼高德 ,James Mangold",95,8.8,美国,536063,"致命ID,Identity,杀人游戏  /  致命身份",2003
剧情 爱情 同性 家庭,每个人心中都有一座断背山。,"李安 ,Ang Lee",96,8.8,美国 加拿大,517920,"断背山,Brokeback Mountain,断臂山  /  BBM",2005
剧情 动作 犯罪 悬疑 惊悚,关于连环杀人悬案的集体回忆。,"奉俊昊 ,Joon-ho Bong",97,8.8,韩国,440891,"杀人回忆,살인의 추억,谋杀回忆  /  杀手回忆录",2003
动画 奇幻 冒险,人与自然的战争史诗。,"宫崎骏 ,Hayao Miyazaki",98,8.9,日本,380683,"幽灵公主,もののけ姫,魔法公主(台)  /  幽灵少女",1997
